hospitalID,expenditure,efficiency
1225,17630,0.00546228
1226,19110,0.005102041
1227,19936,0.00491573
1228,17690,0.005370266
1229,16319,0.005956247
1230,16779,0.005405566
1231,16640,0.005715144
1232,17264,0.005728684
1233,16640,0.005715144
1234,17264,0.005728684
1235,16143,0.006132689
1236,18127,0.005362167
1237,16143,0.006132689
1238,18127,0.005362167
1239,16520,0.005914044
1240,18480,0.005162338
1241,17209,0.005671451
1242,16393,0.005770756
1243,15553,0.006346043
1244,17135,0.005649256
1245,18465,0.005258597
1246,16689,0.005950027
1247,14084,0.007007952
1248,18975,0.005196311
1249,19255,0.005131135
1250,16567,0.005945554
1251,20065,0.004904062
1252,18271,0.005330852
1253,18365,0.005309012
1254,18271,0.005330852
1255,18365,0.005309012
1256,18801,0.005116749
1257,16671,0.00596245
1258,17018,0.005717476
1259,17892,0.005427006
1260,18341,0.005250532
1261,17368,0.00569438
1262,16960,0.005866745
1263,17376,0.005553637
1264,17376,0.005553637
1265,17658,0.005561219
1266,16975,0.005767305
1267,19951,0.004912034
1268,18526,0.005284465
1269,19260,0.004994808
1270,20073,0.004897125
1271,19340,0.005
1272,20073,0.004897125
1273,19340,0.005
1274,20629,0.004731204
1275,18332,0.005405848
1276,18936,0.005148923
1277,17205,0.005539087
1278,15678,0.006110473
1279,17294,0.005551058
1280,16986,0.005751796
1281,17260,0.005446118
1282,18374,0.005377163
1283,18328,0.005319729
1284,18374,0.005377163
1285,18328,0.005319729
1286,15303,0.005992289
1287,15595,0.006361013
1288,16085,0.00603668
1289,12812,0.006650016
1290,16534,0.00589694
1291,17197,0.005634704
1292,20878,0.004641249
1293,16651,0.005897544
1294,20436,0.004839499
1295,20494,0.004635503
1296,19428,0.005059708
1297,19324,0.005133513
1298,15872,0.006237399
1299,15246,0.006316411
1300,15776,0.00630071
1301,16034,0.006186853
1302,20162,0.004880468
1303,15978,0.006183502
1304,20162,0.004880468
1305,15978,0.006183502
1306,19163,0.005124459
1307,20568,0.004788993
1308,14382,0.006786261
1309,17371,0.005710667
1310,18283,0.005343762
1311,16710,0.005876721
1312,18283,0.005343762
1313,16710,0.005876721
1314,20302,0.004817259
1315,17745,0.005607213
1316,18073,0.005411387
1317,19521,0.00497413
1318,13792,0.007178074
1319,14667,0.006606668
1320,14312,0.006728619
1321,14526,0.006505576
1322,14995,0.006528843
1323,16413,0.005940413
1324,14548,0.006860049
1325,19060,0.005194124
1326,17609,0.005548299
1327,18806,0.005189833
1328,17609,0.005548299
1329,18806,0.005189833
1330,17639,0.005544532
1331,17120,0.005689252
1332,14200,0.00693662
1333,17217,0.005726898
1334,15283,0.006392724
1335,16105,0.006184415
1336,13717,0.007261063
1337,15325,0.006473083
1338,17674,0.005448682
1339,20012,0.004932041
1340,18065,0.00538057
1341,19263,0.005014795
1342,18609,0.005255522
1343,16373,0.006040432
1344,16845,0.005859305
